"metric","model","preprocessing","value","val_n","train_n","n_ensembles","alpha","lambda.min.ratio","mtry","num.trees","max.depth","min.bucket","min_child_weight","max_depth","subsample","colsample_bytree","eta","gamma","nrounds","early_stop","regularizer_l1","regularizer_l2","droprate","lr","size_of_batch","number_of_epochs"
"mape","nn1","minmax_scaling",0.104762234938543,90,120,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"1e-05, 0.05","1e-05, 0.05","0.25, 0.75","1e-04, 0.01","8, 32","50, 150"
"rss","nn2","zscore_standardization",-0.160468571385653,60,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"0, 1e-06","2e-04, 0.002","0.1, 0.25","8e-04, 0.002","32, 32","50, 150"
"rmse","nn2","zscore_standardization",0.994728394516824,60,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"0, 1e-06","2e-04, 0.002","0.1, 0.25","8e-04, 0.002","32, 32","50, 150"
"mae","nn2","zscore_standardization",0.810029248901201,60,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"0, 1e-06","2e-04, 0.002","0.1, 0.25","8e-04, 0.002","32, 32","50, 150"
"mphe","nn2","zscore_standardization",0.356791114857794,60,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"0, 1e-06","2e-04, 0.002","0.1, 0.25","8e-04, 0.002","32, 32","50, 150"
"mpe","nn2","zscore_standardization",0.405014624450601,60,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"0, 1e-06","2e-04, 0.002","0.1, 0.25","8e-04, 0.002","32, 32","50, 150"
"mape","nn2","zscore_standardization",0.119246436225532,60,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"0, 1e-06","2e-04, 0.002","0.1, 0.25","8e-04, 0.002","32, 32","50, 150"
"rss","nn2","minmax_scaling",-0.133392299791632,90,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"1e-05, 0.05","1e-05, 0.05","0.25, 0.75","1e-04, 0.01","8, 32","50, 150"
"rmse","nn2","minmax_scaling",0.990019452475602,90,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"1e-05, 0.05","1e-05, 0.05","0.25, 0.75","1e-04, 0.01","8, 32","50, 150"
"mae","nn2","minmax_scaling",0.775986532836607,90,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"1e-05, 0.05","1e-05, 0.05","0.25, 0.75","1e-04, 0.01","8, 32","50, 150"
