"metric","model","preprocessing","value","val_n","train_n","n_ensembles","alpha","lambda.min.ratio","mtry","num.trees","max.depth","min.bucket","min_child_weight","max_depth","subsample","colsample_bytree","eta","gamma","nrounds","early_stop","regularizer_l1","regularizer_l2","droprate","lr","size_of_batch","number_of_epochs","rec_droprate"
"mpe","nn1","minmax_scaling",0.320276206967478,120,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"0.005, 0.1","0.005, 0.1","0.3, 0.75","1e-04, 0.01","8, 32","50, 150",NA
"mape","nn1","minmax_scaling",0.108370590010294,120,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"0.005, 0.1","0.005, 0.1","0.3, 0.75","1e-04, 0.01","8, 32","50, 150",NA
"rss","nn1","minmax_scaling",0.125555488259953,120,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"1e-05, 0.05","1e-05, 0.05","0.25, 0.75","1e-04, 0.01","8, 32","50, 150",NA
"rmse","nn1","minmax_scaling",0.956645651678006,120,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"1e-05, 0.05","1e-05, 0.05","0.25, 0.75","1e-04, 0.01","8, 32","50, 150",NA
"mae","nn1","minmax_scaling",0.737963142726074,120,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"1e-05, 0.05","1e-05, 0.05","0.25, 0.75","1e-04, 0.01","8, 32","50, 150",NA
"mphe","nn1","minmax_scaling",0.320890727811684,120,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"1e-05, 0.05","1e-05, 0.05","0.25, 0.75","1e-04, 0.01","8, 32","50, 150",NA
"mpe","nn1","minmax_scaling",0.368981571363037,120,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"1e-05, 0.05","1e-05, 0.05","0.25, 0.75","1e-04, 0.01","8, 32","50, 150",NA
"mape","nn1","minmax_scaling",0.120572235660549,120,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"1e-05, 0.05","1e-05, 0.05","0.25, 0.75","1e-04, 0.01","8, 32","50, 150",NA
"rss","nn1","minmax_scaling",0.451648624360092,90,120,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"1e-05, 0.05","1e-05, 0.05","0.25, 0.75","1e-04, 0.01","8, 32","50, 150",NA
"rmse","nn1","minmax_scaling",0.730598731789197,90,120,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"1e-05, 0.05","1e-05, 0.05","0.25, 0.75","1e-04, 0.01","8, 32","50, 150",NA
"mae","nn1","minmax_scaling",0.584510786085163,90,120,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"1e-05, 0.05","1e-05, 0.05","0.25, 0.75","1e-04, 0.01","8, 32","50, 150",NA
